file,categoryname,price,mass,volume,description
mule.blank,starships/Merchant/Medium,1500000,28000,570000,"Die Mule ist das Frachtschiff der Wahl fuer alles, dass nicht die immense Ladekapazitaet der Ox-Klasse benoetigt. Raumschiffe der Mule-Klasse sind die bevorzugten Versorgungstransporter fuer das Militaer, und dass nur weil die Menge, in der sie produziert werden, es einfacher macht, sie zu ersetzen, wenn es ein unglueckliches Ende mit ihnen nimmt."
mule,starships/Merchant/Heavy,1700000,20000,570000,"Die Mule ist das Frachtschiff der Wahl fuer alles, dass nicht die immense Ladekapazitaet der Ox-Klasse benoetigt. Raumschiffe der Mule-Klasse sind die bevorzugten Versorgungstransporter fuer das Militaer, und dass nur weil die Menge, in der sie produziert werden, es einfacher macht, sie zu ersetzen, wenn es ein unglueckliches Ende mit ihnen nimmt."
franklin,starships/Merchant/Heavy,1800000,575,12000,""
ox.blank,starships/Merchant/Light_Capship,1200000,1000000,40000000,""
ox,starships/Merchant/Light_Capship,1500000,1000000,40000000,""
clydesdale,starships/Merchant/Light_Capship,80000000,29000000,590000000,""
hyena,starships/Hunter/Light,125000,40,1000,""
robin.blank,starships/Hunter/Medium,75000,42,900,"Die Robins von Terra haben niemals das Ansehen eines furchterregenden 'Bird of Prey' (Raubvogel ) gehabt. Weder noch haben es die Robins der LIHW. Sie haben, wie auch immer, das Ansehen, zuverlaessig, rentabel und nicht wartungsintensiv zu sein, erhalten."
robin,starships/Hunter/Medium,190000,42,900,"Die Robins von Terra haben niemals das Ansehen eines furchterregenden 'Bird of Prey' (Raubvogel ) gehabt. Weder noch haben es die Robins der LIHW. Sie haben, wie auch immer, das Ansehen, zuverlaessig, rentabel und nicht wartungsintensiv zu sein, erhalten."
sickle.blank,starships/Hunter/Medium,70000,55,1100,""
hammer.blank,starships/Hunter/Heavy,120000,115,2300,""
franklin.blank,starships/Hunter/Heavy,1000000,575,12000,""
sickle,starships/ISO/Medium,150000,55,1100,""
hammer,starships/ISO/Heavy,280000,115,2300,""
redeemer.blank,starships/Retro/Light,60000,38,800,"Die Ludditen haben schon durch ihre Natur keine grosse Industrialisierung, vertrauend auf eine kleine Anzahl von versteckten Einrichtungen und sympathischen Fabrikationsanlagen, die sie mit Schiffen beliefern. Der Redeemer (Erloeser ) traegt die Auszeichnung, die einzige offiziell von dem Geistlichen (Priester ) Sverde genehmigte Rasumschiffklasse zu sein, die vor 45 Jahren mit ihrem urspruenglichem Design praesentiert wurde. Sverde sagte, dass Gebete ueber ihn (den Redeemer ) aufgedeckt haben, dass dieser der 'Kumpan des Schafhirten' sein werde, mit dem die Suenden der Menschen bezwungen werden. Billig, sogar in der Zeit seiner Einfuehrung, bleibt der Redeemer ein utilitaristisches Schiff, dass sehr gut an die Produktionsmoeglichkeiten von Hinterweltler-Welten angepasst ist."
redeemer,starships/Retro/Medium,70000,38,800,"Die Ludditen haben schon durch ihre Natur keine grosse Industrialisierung, vertrauend auf eine kleine Anzahl von versteckten Einrichtungen und sympathischen Fabrikationsanlagen, die sie mit Schiffen beliefern. Der Redeemer (Erloeser ) traegt die Auszeichnung, die einzige offiziell von dem Geistlichen (Priester ) Sverde genehmigte Rasumschiffklasse zu sein, die vor 45 Jahren mit ihrem urspruenglichem Design praesentiert wurde. Sverde sagte, dass Gebete ueber ihn (den Redeemer ) aufgedeckt haben, dass dieser der 'Kumpan des Schafhirten' sein werde, mit dem die Suenden der Menschen bezwungen werden. Billig, sogar in der Zeit seiner Einfuehrung, bleibt der Redeemer ein utilitaristisches Schiff, dass sehr gut an die Produktionsmoeglichkeiten von Hinterweltler-Welten angepasst ist."
hyena.blank,starships/Pirate/Light,40000,40,1000,""
beam_heavy_lr,upgrades/Weapons/Capship,25000,.01,1,"@cargo/cargo_hud.png@"
discontinuity,upgrades/Weapons/Capship,2500000,.01,1,"@cargo/cargo_hud.png@"
flak,upgrades/Weapons/Capship,2500,.01,1,"@cargo/cargo_hud.png@"
flak_heavy,upgrades/Weapons/Capship,2500,.01,1,"@cargo/cargo_hud.png@"
fusion_heavy,upgrades/Weapons/Capship,2500,.01,1,"@cargo/cargo_hud.png@"
lr_disruptor_beam,upgrades/Weapons/Capship,25000,.01,1,"@cargo/cargo_hud.png@"
lr_laser_beam,upgrades/Weapons/Capship,2500,.01,1,"@cargo/cargo_hud.png@"
lr_pminus_beam,upgrades/Weapons/Capship,250000,.01,1,"@cargo/cargo_hud.png@"
lr_pminus_beam_mkiv,upgrades/Weapons/Capship,250000,.01,1,"@cargo/cargo_hud.png@"
rlr_pminus_beam,upgrades/Weapons/Capship,250000,.01,1,"@cargo/cargo_hud.png@"
particle_beam,upgrades/Weapons/Capship,2500,.01,1,"@cargo/cargo_hud.png@"
particle_beam_lr,upgrades/Weapons/Capship,25000,.01,1,"@cargo/cargo_hud.png@"
penetrator_mkvi,upgrades/Weapons/Capship,2500,.01,1,"@cargo/cargo_hud.png@"
photon_capship,upgrades/Weapons/Capship,2500,.01,1,"@cargo/cargo_hud.png@"
rlr_laser_beam,upgrades/Weapons/Capship,2500,.01,1,"@cargo/cargo_hud.png@"
sanitizer,upgrades/Weapons/Capship,250000,.01,1,"@cargo/cargo_hud.png@"
laser,upgrades/Weapons/Mounted_Guns_Light,1000,.01,1,"@cargo/cargo_hud.png@Obwohl es nicht ein Laser im herkoemmlichen Sinn der Vorstellung ist, durch seine Aehnlichkeit zu den sogenannten 'Lasern' der klassischen Spiele und Filme aus dem vorangegangenen Jahrtausend, klebte diese Fehlbezeichnung fester an ihm als weltraumtaugliches Epoxyd. Billig und absolut zuverlaessig, werden niederwellige Plasmaspulen, so wie diese, von fast allen raumfahrenden Nationen benutzt."
meson_blaster,upgrades/Weapons/Mounted_Guns_Light,2500,.01,1,"@cargo/cargo_hud.png@"
mass_driver,upgrades/Weapons/Mounted_Guns_Medium,1500,.01,1,"@cargo/cargo_hud.png@Lange vor dem Beginn der modernen Menschheit, war es verschiedenen Hominiden bekannt, dass das Schleudern eines stumpfen Gegenstandes ein vernuenftiger Weg war, um Schaden aus der Entfernung zu erzeugen. Passend genug, die Welten der Puristen Fraktion gehoeren zu den Hauptherstellern von Mass Drivern."
disruptor,upgrades/Weapons/Mounted_Guns_Medium,30000,.01,1,"@cargo/cargo_hud.png@Ordentliche Waffe"
ion,upgrades/Weapons/Mounted_Guns_Medium,40000,.01,1,"@cargo/cargo_hud.png@Auf einigen Planeten hatten Kinder Wasserpistolen, die waren..."
razor_gun,upgrades/Weapons/Mounted_Guns_Medium,40000,.01,1,"@cargo/cargo_hud.png@Billig ist nicht gut"
neutron_gun,upgrades/Weapons/Mounted_Guns_Heavy,5000,.01,1,"@cargo/cargo_hud.png@Zu billig fuer Heavy"
particle_cannon,upgrades/Weapons/Mounted_Guns_Heavy,10000,.01,1,"Auch zu billig"
plasma_gun,upgrades/Weapons/Mounted_Guns_Heavy,80000,.01,1,"@cargo/cargo_hud.png@Sehr zu empfehlen, schuechtert die andern ein"
fusion_gun,upgrades/Weapons/Mounted_Guns_Heavy,1000000,.01,1,"@cargo/cargo_hud.png@Keine Test-Ergebnisse vorhanden"
photon_gun,upgrades/Weapons/Mounted_Guns_Aera_Milspec,15000,.01,1,"@cargo/cargo_hud.png@Keine Erfahrungen mit dieser Waffe bekannt"
anihilator_gun,upgrades/Weapons/Mounted_Guns_Aera_Milspec,90000,.01,1,"@cargo/cargo_hud.png@Keine Erfahrungen mit dieser Waffe bekannt"
penetrator_gun,upgrades/Weapons/Mounted_Guns_Aera_Milspec,110000,.01,1,"@cargo/cargo_hud.png@Schiesst sehr weit, ueber 10000 Meter, ist aber nicht so effektiv"
ktek_gun,upgrades/Weapons/Mounted_Guns_Rlaan_Milspec,60000,.01,1,"@cargo/cargo_hud.png@Gute Kanone, Beam"
hellspawn,upgrades/Weapons/Mounted_Guns_Rlaan_Milspec,3000,.01,1,"@cargo/cargo_hud.png@Keine Test-Ergebnisse vorhanden"
stormfire,upgrades/Weapons/Mounted_Guns_Confed_Milspec,2000,.01,1,"@cargo/cargo_hud.png@Sylvesterknaller"
leech_gun,upgrades/Weapons/Mounted_Guns_Confed_Milspec,66000,.01,1,"@cargo/cargo_hud.png@Mittelmaessig brauchbar"
crippler,upgrades/Weapons/Mounted_Guns_Confed_Milspec,120000,.01,1,"@cargo/cargo_hud.png@Mittelmaessig bis gut"
tachyon_cannon,upgrades/Weapons/Mounted_Guns_Confed_Milspec,20000,.01,1,"@cargo/cargo_hud.png@Geldverschwendung"
reaper_cannon,upgrades/Weapons/Mounted_Guns_Confed_Milspec,1200000,.01,1,"@cargo/cargo_hud.png@Hat Potential"
antimatter_gun,upgrades/Weapons/Mounted_Guns_Confed_Milspec,72000,.01,1,"@cargo/cargo_hud.png@Keine Test-Ergebnisse vorhanden"
laser_beam,upgrades/Weapons/Beam_Arrays_Light,1200,.01,1,"@cargo/cargo_hud.png@Nicht zu empfehlen"
ion_beam,upgrades/Weapons/Beam_Arrays_Light,35000,.01,1,"@cargo/cargo_hud.png@Eine Zwille kann mehr anrichten"
tractor_beam,upgrades/Weapons/Beam_Arrays_Light,7500,.01,1,"@cargo/cargo_hud.png@Nicht so stark, wie ein Heavy-Beam, aber in Ordnung"
repulsor_beam,upgrades/Weapons/Beam_Arrays_Light,50000,.01,1,"@cargo/cargo_hud.png@Zweifelhaftes Vergnuegen, aber nicht ganz ohne"
disruptor_beam,upgrades/Weapons/Beam_Arrays_Medium,4000,.01,1,"@cargo/cargo_hud.png@Eine gute Waffe fuer eine Llama"
ion_beam_heavy,upgrades/Weapons/Beam_Arrays_Heavy,20000,.01,1,"@cargo/cargo_hud.png@Trifft gut"
ktek_beam,upgrades/Weapons/Beam_Arrays_Heavy,120000,.01,1,"@cargo/cargo_hud.png@Trifft besser"
ktek_cap_beam,upgrades/Weapons/Beam_Arrays_Rlaan_Milspec,2500,.01,1,"@cargo/cargo_hud.png@Keine Test-Ergebnisse vorhanden"
ktek_beam_pd,upgrades/Weapons/Beam_Arrays_Rlaan_Milspec,120000,.01,1,"@cargo/cargo_hud.png@Keine Test-Ergebnisse vorhanden"
icepick,upgrades/Weapons/Beam_Arrays_Rlaan_Milspec,24000000,.01,1,"@cargo/cargo_hud.png@Keine Test-Ergebnisse vorhanden"
tractor_heavy,upgrades/Weapons/Beam_Arrays_Confed_Milspec,27500,.01,1,"@cargo/cargo_hud.png@Magnetismus wird ueberschatzt.  Dieser Traktorstrahl ist nur uebertechnisiert, aber gut."
tractor_capability,upgrades/Weapons/Mount_Enhancements,50000,.01,1,"@cargo/cargo_hud.png@Bei allen Schiffen bekommt man die Moeglichkeit, Special-Weapons einzusetzen"
autotracking,upgrades/Weapons/Mount_Enhancements,100000,.01,1,"@cargo/cargo_hud.png@Waehrend alle installierten Waffen dazugehoerende  automatische Zielfindungsmoeglichkeiten haben, sind diese Moeglichkeiten begrenzt bei zivilen Installationen. Ein voll angetriebener militaerischer automatischer Zielfinder wie dieser, vergroessert die Waffentreffgenauigkeit aussergewoehnlich."
add_reactor_capacitance,upgrades/Capacitors/Reactors,40000,20,20,"@cargo/cargo_hud.png@Liefert zusaetzliche Energiespeicherung fuer die Hauptkondensatorbank"
add_shield_2_capacitance,upgrades/Capacitors/Shields,40000,6,1,"@cargo/cargo_hud.png@Liefert zusaetzliche Schadenspufferung pro Emitter."
add_shield_4_capacitance,upgrades/Capacitors/Shields,40000,10,2,"@cargo/cargo_hud.png@Liefert zusaetzliche Schadenspufferung pro Emitter."
reactor_level_0,upgrades/Reactors/Light,4000,.01,1,"@cargo/cargo_hud.png@Leichter standard Reactor (Level 0)."
reactor_level_1,upgrades/Reactors/Light,10000,.01,1,"@cargo/cargo_hud.png@Leichter standard Reactor (Level 1)."
reactor_level_2,upgrades/Reactors/Medium,30000,.01,1,"@cargo/cargo_hud.png@Mittlerer standard Reactor (Level 2)."
reactor_level_3,upgrades/Reactors/Medium,60000,.01,1,"@cargo/cargo_hud.png@Mittlerer standard Reactor (Level 3)."
add_gun_cooler,upgrades/Reactors/Heavy,300000,.01,1,"@cargo/cargo_hud.png@Eine staerkere Kuehlereinheit zur Erhoehung der Feuergeschwindigkeit der Waffen."
reactor_level_4,upgrades/Reactors/Heavy,100000,.01,1,"@cargo/cargo_hud.png@Schwerer standard Reactor (Level 4)."
reactor_level_5,upgrades/Reactors/Heavy,150000,.01,1,"@cargo/cargo_hud.png@Schwerer standard Reactor (Level 5)."
reactor_level_6,upgrades/Reactors/Heavy,300000,.01,1,"@cargo/cargo_hud.png@Schwerer standard Reactor (Level 6)."
reactor_level_7,upgrades/Reactors/Heavy,600000,.01,1,"@cargo/cargo_hud.png@Schwerer standard Reactor (Level 7)."
reactor_level_8,upgrades/Reactors/Heavy,1500000,.01,1,"@cargo/cargo_hud.png@Schwerer standard Reactor (Level 8)."
reactor_level_9,upgrades/Reactors/Heavy,4500000,.01,1,"@cargo/cargo_hud.png@Schwerer standard Reactor (Level 9)."
reactor_level_10,upgrades/Reactors/Heavy,15000000,.01,1,"@cargo/cargo_hud.png@Schwerer standard Reactor (Level 10)."
afterburner_generic,upgrades/Engines/Engine_Enhancements_Light,3000,.01,1,"@cargo/cargo_hud.png@Der allgemeine Nachbrenner spritzt rueckwirkend Treibstoff in den superheissen Vergaser."
afterburner,upgrades/Engines/Engine_Enhancements_Medium,16000,.01,1,"@cargo/cargo_hud.png@Spritzt Treibstoff in den superheissen Vergaser und fuegt zusaetzliche Heizelemente dem Vergaser zu, um die Beschleunigung zu erhoehen."
mult_turn_jet_enhancer,upgrades/Engines/Engine_Enhancements_Medium,40000,.01,1,"Der Zusatz von gerichteter Seitenbeschleunigung, um dem Schiff eine extrem verbesserte Wendigkeit zu ermoeglichen."
mult_thrust_enhancer,upgrades/Engines/Engine_Enhancements_Medium,60000,.01,1,"@cargo/cargo_hud.png@Ein Ausspielen der Toleranzen des Traegheitskompensator erlaubt diese verbesserte Beschleunigung."
mult_maneuver_enhancer,upgrades/Engines/Engine_Enhancements_Heavy,200000,.01,1,"@cargo/cargo_hud.png@Kleinere Verstaerkungen und bedeutsame Verbesserungen des Traegheitskompensators ermoeglichen sehr interessante Manoever."
mult_speed_enhancer,upgrades/Engines/Engine_Enhancements_Heavy,250000,.01,1,"@cargo/cargo_hud.png@Mit der Verbesserung der Toleranzen der passiven Schiffspartikelschilder und der autokompensierenden Software, koennen hoehere Geschwindigkeiten erreicht werden, bevor das Schutzschild ausgedehnt und dadurch geschwaecht werden muss."
shield_2,upgrades/Shield_Systems/Light,3500,.01,1,"@cargo/cargo_hud.png@Eine Kombination von magnetischem und Gravitations- Schutzschild. Emitter 2 Modell."
shield_2_Level1,upgrades/Shield_Systems/Light,9000,.01,1,"@cargo/cargo_hud.png@Eine Kombination von magnetischem und Gravitations- Schutzschild. Emitter 2 Modell."
shield_4,upgrades/Shield_Systems/Light,4000,.01,1,"@cargo/cargo_hud.png@Eine Kombination von magnetischem und Gravitations-Schutzschild. Emitter 4 Modell."
shield_4_Level1,upgrades/Shield_Systems/Light,10000,.01,1,"@cargo/cargo_hud.png@Eine Kombination von magnetischem und Gravitations-Schutzschild. Emitter 4 Modell."
shield_2_Level2,upgrades/Shield_Systems/Medium,25000,.01,1,"@cargo/cargo_hud.png@Eine Kombination von magnetischem und Gravitations- Schutzschild. Emitter 2 Modell."
shield_2_Level3,upgrades/Shield_Systems/Medium,40000,.01,1,"@cargo/cargo_hud.png@Eine Kombination von magnetischem und Gravitations- Schutzschild. Emitter 2 Modell."
shield_4_Level2,upgrades/Shield_Systems/Medium,30000,.01,1,"@cargo/cargo_hud.png@Eine Kombination von magnetischem und Gravitations-Schutzschild. Emitter 4 Modell."
shield_4_Level3,upgrades/Shield_Systems/Medium,50000,.01,1,"@cargo/cargo_hud.png@Eine Kombination von magnetischem und Gravitations-Schutzschild. Emitter 4 Modell."
shield_2_Level4,upgrades/Shield_Systems/Heavy,90000,.01,1,"@cargo/cargo_hud.png@Eine Kombination von magnetischem und Gravitations- Schutzschild. Emitter 2 Modell."
shield_2_Level5,upgrades/Shield_Systems/Heavy,140000,.01,1,"@cargo/cargo_hud.png@Eine Kombination von magnetischem und Gravitations- Schutzschild. Emitter 2 Modell."
shield_4_Level4,upgrades/Shield_Systems/Heavy,100000,.01,1,"@cargo/cargo_hud.png@Eine Kombination von magnetischem und Gravitations-Schutzschild. Emitter 4 Modell."
shield_4_Level5,upgrades/Shield_Systems/Heavy,150000,.01,1,"@cargo/cargo_hud.png@Eine Kombination von magnetischem und Gravitations-Schutzschild. Emitter 4 Modell."
shield_2_Level6,upgrades/Shield_Systems/Heavy,300000,.01,1,"@cargo/cargo_hud.png@Eine Kombination von magnetischem und Gravitations- Schutzschild. Emitter 2 Modell."
shield_4_Level6,upgrades/Shield_Systems/Heavy,300000,.01,1,"@cargo/cargo_hud.png@Eine Kombination von magnetischem und Gravitations-Schutzschild. Emitter 4 Modell."
shield_2_Level7,upgrades/Shield_Systems/Heavy,600000,.01,1,"@cargo/cargo_hud.png@Eine Kombination von magnetischem und Gravitations- Schutzschild. Emitter 2 Modell."
shield_4_Level7,upgrades/Shield_Systems/Heavy,600000,.01,1,"@cargo/cargo_hud.png@Eine Kombination von magnetischem und Gravitations-Schutzschild. Emitter 4 Modell."
shield_2_Level8,upgrades/Shield_Systems/Heavy,1200000,.01,1,"@cargo/cargo_hud.png@Eine Kombination von magnetischem und Gravitations- Schutzschild. Emitter 2 Modell."
shield_4_Level8,upgrades/Shield_Systems/Heavy,1200000,.01,1,"@cargo/cargo_hud.png@Eine Kombination von magnetischem und Gravitations-Schutzschild. Emitter 4 Modell."
shield_2_Level9,upgrades/Shield_Systems/Heavy,2500000,.01,1,"@cargo/cargo_hud.png@Eine Kombination von magnetischem und Gravitations- Schutzschild. Emitter 2 Modell."
shield_4_Level9,upgrades/Shield_Systems/Heavy,2500000,.01,1,"@cargo/cargo_hud.png@Eine Kombination von magnetischem und Gravitations-Schutzschild. Emitter 4 Modell."
shield_2_Level10,upgrades/Shield_Systems/Heavy,6000000,.01,1,"@cargo/cargo_hud.png@Eine Kombination von magnetischem und Gravitations- Schutzschild. Emitter 2 Modell."
shield_4_Level10,upgrades/Shield_Systems/Heavy,6000000,.01,1,"@cargo/cargo_hud.png@Eine Kombination von magnetischem und Gravitations-Schutzschild. Emitter 4 Modell."
mult_shield_regenerator,upgrades/Shield_Systems/Heavy,170000,.01,1,"@cargo/cargo_hud.png@Vergroessert die Wiederaufladegeschwindigkeit der Schutzschilde."
plasteel,upgrades/Armor_Modification,1000,.01,1,"@cargo/cargo_hud.png@Im engerem Sinn eher ein Ausbau der Huelle, als eine aktuelle Panzerung, Plasteel ist trotzdem billig und kosteneffektiv."
tungsten,upgrades/Armor_Modification,1500,.01,1,"@cargo/cargo_hud.png@Dicht, und mit einem hohen Schmelzpunkt, auf Tungsten basierende Panzerung ist primitiv, aber nicht unwirksam."
TantalumCarbide,upgrades/Armor_Modification/Aera_Milspec,500,.01,1,"@cargo/cargo_hud.png@Nur durch das Besitzen eines sehr hohen Schmelzpunkts, ist es, wie auch immer, nicht eine besonders gute Panzerung. Aber die Aeraner koennen es billig produzieren."
Polysteel,upgrades/Armor_Modification/Aera_Milspec,1600,.01,1,"@cargo/cargo_hud.png@Teurer als Plasteel, aber gleichzeitig viel effektiver."
PolyDuranium,upgrades/Armor_Modification/Aera_Milspec,10000,.01,1,"@cargo/cargo_hud.png@Eine Vielzahl Schichten von Duranium und Polysteel, auf der Oberflaeche mit Bipolite und einer Anordnung von Stromleitungen und Ablativen."
isometal,upgrades/Armor_Modification/Confed_Milspec,2000,.01,1,"@cargo/cargo_hud.png@Dadurch, dass die Panzerungsstruktur sehr gleichmaessig ist, wurde die Panzerung viel staerker."
add_ablative_hull_coating,upgrades/Hull_Upgrades,12000,10,0,"@cargo/cargo_hud.png@"
add_sublimative_hull_coating,upgrades/Hull_Upgrades,15000,15,1,"@cargo/cargo_hud.png@"
add_second_hull,upgrades/Hull_Upgrades,25000,100,1,"@cargo/cargo_hud.png@Durch den Gebrauch der hervorragenden Isolierungseingenschaften des Vakuums, koennen diejenigen, die nicht besorgt sind ueber das Zusatzgewicht und die Zusatzkosten, eine zweite Schicht (Kuehlerblech ) auf ihr Raumschiff legen."
add_aera_hull_coating,upgrades/Hull_Upgrades/Aera_Milspec,5000,6,1,"@cargo/cargo_hud.png@Durch das Belegen der Huelle mit Kuehlerrippen, eingebettet in Hochtemperaturablative, die auf einem kinetischem Verteiler sitzen, wird die Energie ueber die ausgedehnten Regionen der Huelle verbreitet, was der Huelle erlaubt mehr Schaden einzustecken, bevor irgend ein Teil kollabiert."
add_micro_shielding,upgrades/Hull_Upgrades/Rlaan_Milspec,30000,5,1,"@cargo/cargo_hud.png@Durch eingebettete Partituren von miniaturisierten Schildeinheiten in der Huelle, wurde die Moeglichkeit der Huelle, Schaden zu absorbieren massiv gesteigert, auf die Kosten eines bedeutenden Energieverbrauchs."
polymer_hull,upgrades/Hull_Upgrades/Confed_Milspec,10000,0,0,"@cargo/cargo_hud.png@Optimiert fuer kleine Massen, ist diese Huelle konstruiert aus kreuzgewebten langen Karbon-Nanoroehrchen eingebettet in ein hartes Epoxyd, bedeckt mit einer dicken Schicht UV-Schutz."
reinforced_hull,upgrades/Hull_Upgrades/Confed_Milspec,25000,4,4,"@cargo/cargo_hud.png@Das Grundhuellen-Design ist modifiziert mit zusaetzlichen Stuetzen und Honigwaben-Design zur Erhoehung der Elastizitaet gegen Schaden."
ecm_package_1,upgrades/ECM_Systems,5000,.01,1,"@cargo/cargo_hud.png@ElektronischeZaehlerMasse\ECM bezieht sich auf ein umfassendes Spectrum von Techniken, die entworfen worden, um feindliche Sensoren und Kommunikation zu vernichten oder zu taueschen ."
ecm_package_2,upgrades/ECM_Systems,15000,.01,1,"@cargo/cargo_hud.png@ElektronischeZaehlerMasse\ECM bezieht sich auf ein umfassendes Spectrum von Techniken, die entworfen worden, um feindliche Sensoren und Kommunikation zu vernichten oder zu taeuschen ."
hud_repair,upgrades/Repair_Systems,4000,.01,1,"@cargo/cargo_hud.png@Da jedes Schiff einer bestimmten Groesse keine physikalische Rundumuebersicht fuer seinen Piloten hat, und da kein Pilot ohne Navigatsionsystem fliegen kann, ist die Faehigkeit waerend des Fluges ein zerstoertes Navigationssystem zu reparieren beinahe ueberlebenswichtig."
repair_system,upgrades/Repair_Systems,10000,.01,1,"@cargo/cargo_hud.png@Ein verteiltes Netwerk von lokalen Schadenskontrolleinheiten, dieses Reparatursystem kann beschaedigte Module isolieren, den Folgeschaden minimieren und einige fehlerhafte Funktionen wiederherstellen."
repair_system_advanced,upgrades/Repair_Systems,20000,.01,1,"@cargo/cargo_hud.png@Mit der Vergroesserung der Arbeitskraft des Rearatursystems, haben mehrere der lokalen Module eine groessere Wahrscheinlichkeit einen Schaden zu ueberleben und repariert zu werden. "
repair_droid,upgrades/Repair_Systems/Advanced,30000,.01,1,"@cargo/cargo_hud.png@Ein zusammenarbeitendes Netzwerk von Untereinheiten, dass waehrend des Fluges Reparaturarbeiten verrichten kann."
repair_droid_advanced,upgrades/Repair_Systems/Advanced,90000,.01,1,"@cargo/cargo_hud.png@Stabil genug um Reparaturen waehrend eines Kampfes durchzufuehren. Intelligent genug sich zu merken, nicht den Computer zu waschen."
repair_ai,upgrades/Repair_Systems/Research,200000,.01,1,"@cargo/cargo_hud.png@Manchmal ist es genauso wichtig, Prioritaeten zu setzen, was zuerst repariert wird, wie das Reparieren an sich."
repair_ai_advanced,upgrades/Repair_Systems/Research,300000,.01,1,"@cargo/cargo_hud.png@Aehnlich dem normalen Reparatur-AI, aber mit optimiertem Computercode und besserer Garantie."
SkyScope_Alpha,upgrades/Radar/Basic,5000,.01,1,"@cargo/cargo_hud.png@Einfaches Radargeraet"
